respondent_role,company_size,industry_sector,dashboard_version,usability_score,conversion_impact,adoption_intent,privacy_concern,ease_of_use_score,pricing_transparency_score,ai_insight_usefulness
vendor,11–50,Manufacturing,simplified,6.3,0.17,0.69,low,6.3,6.7,6.9
user,11–50,Retail,simplified,7.2,0.05,0.67,low,7.6,6.2,7.6
user,11–50,Retail,simplified,6.1,0.25,0.93,low,7.9,7.0,8.5
consultant,100+ employees,Retail,complex,7.9,0.12,0.86,low,8.9,6.2,9.5
consultant,100+ employees,Healthcare,complex,8.6,0.21,0.92,medium,7.8,8.5,9.2
consultant,51–100,Retail,complex,8.2,0.17,0.78,low,7.7,8.6,7.6
user,100+ employees,Manufacturing,simplified,8.3,0.24,0.79,medium,9.0,8.4,9.3
user,100+ employees,IT,simplified,6.8,0.11,0.82,high,6.3,8.2,6.7
consultant,11–50,Manufacturing,simplified,6.0,0.08,0.69,high,9.3,7.6,7.1
consultant,100+ employees,Healthcare,complex,7.5,0.07,0.67,low,8.8,6.4,9.1
vendor,51–100,Finance,simplified,8.8,0.22,0.73,medium,7.3,7.0,8.4
vendor,11–50,Finance,complex,6.7,0.23,0.88,medium,9.2,6.9,7.3
vendor,100+ employees,IT,simplified,6.1,0.13,0.67,medium,7.3,6.6,8.1
vendor,1–10,Finance,complex,8.6,0.19,0.86,high,6.2,8.2,6.9
vendor,11–50,Manufacturing,simplified,6.9,0.11,0.89,medium,7.1,8.7,7.6
consultant,51–100,Manufacturing,complex,6.3,0.15,0.76,high,8.7,6.9,8.4
vendor,11–50,IT,complex,7.7,0.15,0.85,low,8.5,6.1,8.2
consultant,11–50,Manufacturing,complex,6.6,0.22,0.8,medium,7.6,7.5,8.4
user,11–50,Healthcare,simplified,6.1,0.12,0.83,medium,8.4,7.1,8.5
user,51–100,Manufacturing,simplified,8.2,0.11,0.74,high,7.5,8.6,8.8
consultant,100+ employees,Education,simplified,8.5,0.14,0.73,low,6.3,6.6,8.0
vendor,1–10,Retail,simplified,7.0,0.15,0.77,medium,9.4,9.0,6.7
user,51–100,Education,complex,8.8,0.08,0.66,medium,8.3,8.1,9.3
consultant,100+ employees,Retail,complex,7.8,0.2,0.84,low,7.0,6.8,6.8
consultant,1–10,Education,simplified,7.9,0.19,0.85,high,6.4,7.4,8.8
consultant,100+ employees,Finance,complex,7.2,0.21,0.67,low,9.0,8.0,6.7
vendor,1–10,Retail,simplified,7.2,0.1,0.7,medium,7.9,6.8,9.4
user,100+ employees,Education,complex,8.8,0.11,0.74,high,6.8,6.6,7.6
user,100+ employees,Education,simplified,6.8,0.17,0.82,low,7.7,6.2,9.1
consultant,11–50,Retail,simplified,6.6,0.1,0.79,medium,6.9,8.7,8.6
vendor,100+ employees,IT,simplified,8.0,0.09,0.81,medium,7.1,8.6,8.7
user,100+ employees,Healthcare,complex,7.1,0.15,0.87,medium,8.6,6.7,8.8
consultant,1–10,Healthcare,complex,6.1,0.24,0.7,medium,8.5,7.4,7.6
consultant,11–50,Healthcare,simplified,7.4,0.06,0.77,high,9.1,7.0,7.3
user,100+ employees,Education,simplified,6.3,0.18,0.76,high,6.3,7.6,7.3
user,100+ employees,Retail,simplified,8.4,0.17,0.87,medium,9.2,8.4,9.1
vendor,51–100,Education,simplified,7.0,0.09,0.75,high,8.9,6.5,8.5
consultant,100+ employees,Healthcare,complex,6.4,0.22,0.82,medium,6.6,7.8,6.6
user,51–100,IT,simplified,8.9,0.2,0.68,medium,8.7,6.1,6.6
user,51–100,IT,simplified,8.3,0.07,0.88,low,6.7,6.8,7.6
user,100+ employees,IT,simplified,8.1,0.22,0.92,low,8.5,7.8,7.5
vendor,1–10,Healthcare,simplified,6.6,0.05,0.61,high,7.6,8.2,7.9
user,100+ employees,IT,simplified,9.0,0.1,0.82,medium,8.7,8.0,8.7
user,1–10,Healthcare,simplified,6.1,0.08,0.69,high,7.0,6.4,8.8
consultant,51–100,Finance,simplified,8.9,0.12,0.91,high,9.0,6.2,9.3
vendor,51–100,Manufacturing,simplified,7.8,0.2,0.71,high,8.4,7.7,7.2
user,100+ employees,Healthcare,complex,8.5,0.19,0.61,medium,7.0,7.2,6.7
user,100+ employees,Healthcare,complex,8.5,0.13,0.89,medium,9.1,7.3,8.5
vendor,100+ employees,Education,complex,8.9,0.25,0.6,high,8.2,8.9,8.9
vendor,51–100,Finance,simplified,6.6,0.23,0.88,medium,8.3,8.6,9.3
consultant,51–100,IT,simplified,8.8,0.14,0.66,high,7.1,6.4,9.1
vendor,100+ employees,Manufacturing,complex,7.0,0.17,0.71,high,6.1,7.2,6.6
user,100+ employees,IT,complex,6.2,0.22,0.79,medium,8.7,8.8,7.4
user,1–10,Manufacturing,complex,7.7,0.23,0.81,low,8.1,7.6,7.1
vendor,51–100,Finance,complex,7.3,0.13,0.85,high,9.2,7.6,9.3
user,1–10,IT,complex,8.1,0.14,0.94,low,9.3,6.2,6.8
consultant,100+ employees,Education,simplified,7.9,0.24,0.84,low,8.6,6.8,7.9
user,100+ employees,Retail,simplified,7.2,0.25,0.72,low,8.4,7.2,9.1
user,11–50,IT,simplified,8.3,0.07,0.65,medium,9.3,7.8,8.0
vendor,51–100,Finance,simplified,6.5,0.18,0.66,high,6.7,8.3,7.6
user,100+ employees,Education,complex,8.7,0.18,0.75,low,6.9,7.8,9.3
vendor,1–10,Retail,simplified,6.1,0.17,0.79,low,6.0,8.2,8.0
user,100+ employees,Manufacturing,simplified,6.5,0.18,0.91,medium,6.4,9.0,8.1
user,1–10,Education,simplified,6.1,0.19,0.75,low,6.5,8.2,7.2
consultant,100+ employees,IT,complex,6.5,0.22,0.71,low,6.8,8.6,7.4
consultant,100+ employees,Retail,complex,6.8,0.09,0.76,medium,6.1,7.0,8.8
vendor,100+ employees,Finance,complex,9.0,0.07,0.64,high,6.7,8.9,8.4
user,51–100,Healthcare,simplified,6.2,0.25,0.85,medium,6.9,6.0,9.1
vendor,100+ employees,Retail,simplified,6.2,0.22,0.77,low,6.8,8.3,8.1
vendor,100+ employees,Healthcare,complex,6.0,0.16,0.61,high,9.2,8.1,7.2
vendor,11–50,Healthcare,complex,7.1,0.25,0.75,medium,8.5,8.7,7.2
vendor,100+ employees,Education,complex,6.9,0.22,0.88,medium,8.5,8.1,6.5
user,51–100,IT,complex,7.5,0.15,0.77,high,9.0,8.7,6.9
user,100+ employees,Retail,simplified,8.9,0.11,0.83,medium,6.1,8.7,6.7
vendor,11–50,Retail,complex,8.9,0.2,0.66,low,6.3,8.0,8.3
consultant,100+ employees,IT,simplified,7.2,0.05,0.77,low,6.7,7.1,6.7
vendor,100+ employees,IT,complex,8.0,0.06,0.74,low,7.9,6.7,7.6
user,51–100,Retail,complex,7.2,0.13,0.86,high,8.2,7.0,7.7
vendor,1–10,IT,simplified,6.1,0.16,0.76,high,8.4,7.6,7.4
user,100+ employees,Manufacturing,complex,6.4,0.19,0.7,high,8.8,8.5,9.0
vendor,100+ employees,Finance,complex,8.6,0.07,0.88,low,7.5,7.1,7.9
consultant,1–10,IT,complex,8.4,0.11,0.64,high,8.6,6.2,6.8
user,100+ employees,Retail,simplified,7.7,0.14,0.84,medium,9.1,7.1,8.0
vendor,11–50,IT,complex,7.9,0.17,0.92,high,8.0,7.4,8.0
consultant,51–100,IT,simplified,7.0,0.06,0.89,low,6.7,8.4,9.4
vendor,11–50,Healthcare,simplified,8.1,0.07,0.75,low,9.4,7.4,7.4
vendor,100+ employees,Education,simplified,7.3,0.25,0.7,low,7.7,8.1,6.8
consultant,100+ employees,Retail,simplified,7.8,0.09,0.63,medium,6.7,6.3,9.2
consultant,100+ employees,Finance,complex,8.3,0.19,0.63,high,9.2,7.2,9.4
user,11–50,IT,complex,7.7,0.18,0.67,low,7.8,8.5,8.6
consultant,51–100,IT,complex,7.6,0.19,0.64,low,6.7,6.3,9.0
user,51–100,Education,complex,7.0,0.15,0.79,high,6.0,6.5,8.6
vendor,11–50,Manufacturing,complex,8.1,0.19,0.73,low,7.0,7.1,7.4
user,51–100,Finance,simplified,6.9,0.12,0.95,low,7.7,6.3,6.5
user,51–100,Retail,complex,8.6,0.12,0.89,medium,9.4,8.1,8.6
consultant,100+ employees,IT,simplified,6.1,0.25,0.75,high,7.0,7.8,8.4
consultant,100+ employees,Education,simplified,6.2,0.23,0.91,low,7.6,6.5,9.0
consultant,1–10,Healthcare,simplified,6.9,0.23,0.81,low,7.0,6.6,6.6
user,1–10,Education,complex,7.7,0.11,0.91,low,8.8,6.9,6.9
vendor,100+ employees,IT,complex,6.4,0.06,0.75,high,7.6,6.1,8.3
consultant,51–100,IT,simplified,7.1,0.18,0.84,medium,6.2,8.3,8.4
vendor,100+ employees,Finance,complex,6.5,0.18,0.6,low,9.1,6.6,8.4
consultant,100+ employees,Manufacturing,simplified,6.6,0.1,0.73,low,8.6,7.0,8.1
consultant,11–50,Retail,simplified,7.9,0.18,0.64,high,9.4,6.6,8.2
user,51–100,IT,complex,6.1,0.21,0.7,high,7.3,6.8,9.3
user,51–100,Education,complex,8.0,0.09,0.73,low,8.9,8.4,8.2
vendor,11–50,Education,complex,7.4,0.17,0.86,low,7.2,8.0,8.8
vendor,100+ employees,IT,simplified,6.3,0.09,0.85,low,6.4,8.5,9.5
user,100+ employees,Education,simplified,6.1,0.05,0.93,high,7.0,7.3,8.5
vendor,100+ employees,Education,complex,7.7,0.25,0.8,low,8.7,8.6,8.6
vendor,100+ employees,Finance,complex,6.0,0.17,0.79,medium,6.6,7.9,7.2
user,1–10,Manufacturing,simplified,7.5,0.15,0.85,medium,8.8,8.0,8.4
user,1–10,Finance,complex,6.6,0.07,0.71,low,8.0,8.9,8.3
vendor,11–50,Healthcare,simplified,8.7,0.17,0.76,low,7.6,6.9,6.9
consultant,100+ employees,Healthcare,complex,8.0,0.14,0.79,low,7.2,7.5,7.7
user,51–100,Education,simplified,7.6,0.11,0.94,high,8.8,7.2,7.9
user,100+ employees,Healthcare,complex,6.3,0.21,0.82,medium,6.6,6.2,8.0
consultant,1–10,Education,simplified,7.9,0.08,0.83,medium,8.4,6.4,6.5
vendor,51–100,Manufacturing,simplified,8.3,0.05,0.61,low,6.3,7.3,7.5
vendor,11–50,Finance,simplified,7.5,0.11,0.67,medium,9.0,7.9,7.6
vendor,100+ employees,IT,complex,6.8,0.2,0.64,low,9.1,8.4,7.2
vendor,100+ employees,Education,simplified,7.6,0.11,0.72,low,9.1,8.8,7.4
consultant,1–10,Finance,simplified,8.0,0.15,0.91,medium,8.6,8.1,6.6
consultant,100+ employees,IT,complex,7.5,0.06,0.63,low,8.6,6.3,8.3
consultant,100+ employees,Retail,complex,6.5,0.14,0.84,high,7.9,7.4,7.3
user,100+ employees,Manufacturing,simplified,9.0,0.07,0.72,medium,8.9,8.3,8.9
consultant,51–100,Finance,simplified,8.5,0.17,0.77,medium,7.2,6.4,7.1
user,51–100,Education,simplified,8.9,0.08,0.68,high,6.1,6.8,8.2
user,51–100,Education,simplified,6.6,0.1,0.82,medium,7.4,8.5,7.3
user,51–100,IT,complex,6.6,0.12,0.68,medium,8.0,8.7,9.5
consultant,11–50,IT,complex,6.6,0.16,0.76,medium,7.2,6.6,8.4
user,11–50,IT,simplified,7.6,0.24,0.64,medium,8.4,8.5,9.2
user,51–100,IT,simplified,7.0,0.13,0.77,high,6.1,8.4,8.4
user,100+ employees,Manufacturing,simplified,8.8,0.13,0.86,high,6.6,8.0,8.9
user,51–100,Healthcare,complex,8.9,0.2,0.83,medium,8.9,7.4,8.9
consultant,11–50,Retail,simplified,6.2,0.12,0.67,high,9.4,6.1,8.9
vendor,100+ employees,Healthcare,simplified,7.8,0.2,0.77,low,6.5,8.5,8.0
user,100+ employees,Retail,simplified,8.5,0.19,0.72,high,6.4,8.8,8.2
user,51–100,Healthcare,complex,7.7,0.23,0.92,high,9.1,6.9,7.2
user,100+ employees,IT,complex,7.4,0.06,0.76,medium,8.2,7.6,8.0
user,100+ employees,Manufacturing,complex,6.4,0.18,0.72,low,6.1,8.8,7.9
user,11–50,Manufacturing,simplified,7.0,0.14,0.63,high,6.9,7.8,7.0
vendor,11–50,Finance,simplified,6.8,0.19,0.85,high,6.6,8.8,7.5
vendor,100+ employees,Education,simplified,8.5,0.21,0.74,low,8.1,7.7,9.3
consultant,51–100,Manufacturing,simplified,7.9,0.06,0.91,low,6.3,8.8,8.1
consultant,51–100,IT,complex,6.2,0.12,0.8,high,6.8,9.0,9.2
user,100+ employees,Healthcare,simplified,8.8,0.16,0.83,low,6.3,8.3,6.8
vendor,100+ employees,Retail,complex,8.8,0.13,0.67,low,9.2,6.0,7.0
user,100+ employees,IT,simplified,6.1,0.05,0.74,high,6.7,8.2,8.6
vendor,100+ employees,Manufacturing,complex,7.2,0.18,0.79,medium,7.6,7.0,8.1
vendor,51–100,IT,simplified,7.4,0.16,0.84,medium,7.8,7.7,8.8
consultant,11–50,Finance,simplified,6.7,0.06,0.88,high,9.4,6.5,8.2
user,11–50,Retail,complex,8.7,0.1,0.61,low,8.0,6.4,7.5
user,100+ employees,IT,simplified,8.8,0.18,0.84,high,7.1,7.2,9.4
user,100+ employees,Healthcare,complex,8.2,0.18,0.78,low,6.9,6.5,8.0
vendor,100+ employees,IT,complex,7.6,0.14,0.75,low,8.2,8.9,8.7
consultant,100+ employees,IT,complex,7.8,0.15,0.72,high,6.5,8.7,8.4
user,100+ employees,Healthcare,complex,7.4,0.06,0.9,low,8.3,8.8,7.6
vendor,100+ employees,Finance,complex,6.2,0.14,0.67,low,7.9,6.7,8.5
vendor,51–100,Education,complex,7.0,0.25,0.61,low,9.1,6.1,7.3
consultant,100+ employees,Retail,complex,6.2,0.06,0.93,low,6.6,6.7,6.7
user,100+ employees,Education,simplified,6.8,0.09,0.67,high,7.3,7.7,8.0
vendor,1–10,IT,complex,6.1,0.13,0.6,medium,8.2,8.1,8.4
user,11–50,Healthcare,complex,7.7,0.08,0.69,medium,8.0,6.8,8.8
vendor,100+ employees,IT,complex,7.1,0.19,0.94,medium,8.6,6.7,8.0
vendor,1–10,Education,complex,6.6,0.14,0.72,medium,7.1,8.8,7.6
user,1–10,IT,simplified,6.5,0.21,0.74,high,8.6,7.4,7.5
user,11–50,Manufacturing,complex,7.2,0.09,0.8,high,8.2,7.0,8.0
vendor,11–50,Finance,simplified,7.2,0.1,0.69,medium,7.8,8.0,6.9
user,100+ employees,IT,simplified,8.8,0.16,0.87,medium,8.4,6.4,9.0
vendor,1–10,Finance,complex,8.3,0.07,0.76,medium,8.1,8.6,8.7
vendor,100+ employees,Education,simplified,7.7,0.05,0.79,low,7.8,8.5,7.4
vendor,100+ employees,Manufacturing,simplified,7.6,0.1,0.78,low,8.4,9.0,9.1
user,100+ employees,Healthcare,complex,6.4,0.22,0.87,high,7.0,6.8,7.6
vendor,100+ employees,Education,complex,6.8,0.19,0.84,low,7.1,6.7,6.7
consultant,100+ employees,IT,complex,7.0,0.21,0.86,high,6.0,7.8,7.2
user,100+ employees,Manufacturing,complex,7.4,0.1,0.78,medium,7.5,7.7,8.4
vendor,11–50,Retail,complex,8.7,0.2,0.89,medium,7.3,7.4,7.8
vendor,100+ employees,Education,complex,8.0,0.07,0.7,high,7.4,6.4,9.4
consultant,51–100,IT,complex,7.5,0.2,0.61,low,8.0,7.2,7.8
user,100+ employees,Healthcare,simplified,8.7,0.23,0.79,medium,8.4,8.4,7.3
vendor,100+ employees,IT,complex,6.8,0.19,0.74,medium,9.0,6.8,6.8
vendor,100+ employees,Manufacturing,simplified,6.1,0.08,0.75,high,7.4,7.9,8.9
consultant,100+ employees,Retail,simplified,7.1,0.17,0.82,high,6.1,6.4,8.3
consultant,100+ employees,Manufacturing,simplified,8.1,0.17,0.86,high,7.3,6.1,8.8
user,100+ employees,Retail,complex,6.9,0.19,0.92,low,7.2,7.4,9.2
vendor,51–100,IT,complex,8.3,0.15,0.89,high,8.1,7.2,7.7
user,11–50,Education,simplified,6.5,0.08,0.62,medium,7.2,7.4,7.7
vendor,11–50,Manufacturing,simplified,7.5,0.1,0.76,high,6.3,8.2,9.5
